event-id,visible,timestamp,location-long,location-lat,data-decoding-software,gps:horizontal-accuracy-estimate,gps:speed-accuracy-estimate,gps-time-to-fix,ground-speed,heading,height-above-ellipsoid,icarus:ecef-vx,icarus:ecef-vy,icarus:ecef-vz,icarus:ecef-x,icarus:ecef-y,icarus:ecef-z,icarus:reset-counter,icarus:timestamp-accuracy,icarus:timestamp-source,icarus:uplink-counter,import-marked-outlier,location-accuracy-comments,location-error-text,mortality-status,tag-voltage,transmission-protocol,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18481105729,true,2021-04-16 14:13:00.000,-144.5402699,-14.9429548,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18481105730,true,2021-04-16 14:14:00.000,-144.5402892,-14.9429628,,,,,,,,,,,,,,,"OK","common-uplink-header",,false,,">10m","alive",4000.0,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710671,true,2021-04-19 22:02:00.000,-144.5371371,-14.9519241,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710672,true,2021-04-20 02:49:00.000,-144.5392829,-14.952997,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710673,true,2021-04-20 12:41:00.000,-144.546321,-14.9428689,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710674,true,2021-04-20 22:01:00.000,-144.5340043,-14.9499929,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710675,true,2021-04-21 22:01:00.000,-144.5472651,-14.9436843,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710676,true,2021-04-22 01:15:00.000,-144.5344334,-14.950422,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710677,true,2021-04-22 22:01:00.000,-144.5447331,-14.9426114,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
18616710678,true,2021-04-23 22:00:00.000,-144.534133,-14.9503362,,,,,,,,,,,,,,,"OK","group-3-uplink",,false,,">10m","",,"space","gps","Tringa incana","F9620C","Chevalier errant T21 [FRP-GE43223]","Kivi Kuaka [ID_PROG_1099] "
